org,taigigo
軽快,荘重
警戒色,保護色
経験,思弁
敬具,拝啓
軽減,加重
軽工業,重工業
軽視,重視
形而上,形而下
軽症,重症
軽傷,重傷
警戒,油断こ
故意,過失
濃い,薄い
濃い,淡い
好意,悪意
好意,敵意
高緯度,低緯度
公印,私印
高遠,卑近
高価,安価
高価,廉価
硬化,軟化
硬貨,紙幣
高雅,低俗
公海,領海
高貴,下賤
広義,狭義
好転,悪化
好況,不況
概説,詳説
外地,内地
害虫,益虫
快調,不調
買手,売手
解任,就任
解任,任命
解放,拘束
快楽,苦痛
加害,被害
拡大,縮小
各論,総論
寡作,多作
過小,過大
過小,過多
過剰,不足
加算,減算
仮性,真性
課税,免税
仮説,定説
仮設,常設
過疎,過密
過度,適度
既婚,未婚
希釈,濃縮
希少,夥多
起床,就寝
気丈,気弱
既成,未成
偽善,偽悪
吉日,凶日
几帳面,ずぼら
既遂,未遂
奇数,偶数
帰省ラッシュ,Uターンラッシュ
吉報,凶報
吉夢,悪夢
起点,終点
機敏,遅鈍
起伏,平坦
義務,権利
義父,義母
偽名,実名
逆境,順境
却下,受理
空席,満席
空虚,充実
空前,絶後
空疎,充実
空想,現実
空想的,現実的
空弾,実弾
偶蹄類,奇蹄類
偶発的,計画的
空理,実理
空腹,満腹
陸路,海路
愚挙,壮挙
苦言,甘言
愚妻,賢妻
公家,武家
愚察,賢察
愚者,賢者
口授,筆授
具象,抽象
愚説,卓説
苦戦,善戦
具体,抽象
継子,実子
慶事,弔事
形式,内容
軽率,慎重
軽少,莫大
経線,緯線
継続,断絶
継続,中断
経度,緯度
軽微,甚大
軽蔑,尊敬
迎撃,出撃
下界,天上
激増,激減
下戸,上戸
夏至,冬至
下作,上作
下策,上策
下種,上種
下水,上水
下旬,上旬
結合,分離
月光,日光
好景気,不景気
攻撃,防御
攻撃,守備
高潔,卑劣
高血圧,低血圧
公権,私権
合憲,違憲
好材料,悪材料
公傷,私傷
高姿勢,低姿勢
高尚,低俗
向上,堕落
向上,低下
後進,先進
攻勢,守勢
公道,私道
広大,狭小
巧遅,拙速
高地,低地
好調,不調
公的,私的
公転,自転
購入,売却
借りる,貸す
借りる,返す
可燃,不燃
華美,質素
上座,下座
官学,私学
歓喜,悲哀
寒気,暑気
官軍,賊軍
簡潔,冗長
完結,未完
関西,関東
贋作,真作
観察,実験
漢字,仮名
元日,大晦日
頑丈,華奢
求職,求人
給水,配水
急進,漸進
休日,平日
急性,慢性
急落,急騰
供給,需要
狂気,正気
強健,病弱
強固,軟弱
凶作,豊作
興,不興
協調,排他
協調,対立
拒否,承認
拒否,承諾
拒否,応諾
具体化,抽象化
具体的,抽象的
口軽,口重
口下手,口上手
下り,上り
下る,上る
屈曲,伸張
愚直,狡猾
愚鈍,利発
苦難,快楽
配る,集める
愚昧,賢明
組頭,組子
与し易い,手強い
曇り,晴れ
曇る,照る
与する,敵する
結婚,離婚
傑作,駄作
決断,躊躇
欠点,美点
結党,解党
結尾,起首
下落,騰貴
原因,結果
嫌悪,愛好
健康,病気
健康,病弱
原告,被告
顕在,潜在
現在,過去
現在,未来
現実,理想
原書,訳書
硬派,軟派
後輩,先輩
購買,販売
硬筆,毛筆
好評,不評
幸福,不幸
公平,差別
公法,私法
高慢,謙虚
巧妙,稚拙
公用,私用
公立,私立
国立,私立
交流,直流
極楽,地獄
午後,午前
誤字,正字
官製,私製
閑静,喧騒
幹線,支線
完全,欠如
寛大,狭量
簡単,複雑
寒中,暑中
閑中,忙中
干潮,満潮
