org,taigigo
不合理,合理
プロ,アマ
服従,反抗
不戦勝,不戦敗
不祝儀,祝儀
不首尾,上首尾
不純,純粋
不浄,清浄
譜代,外様
沸点,氷点
不足,充足
不出来,上出来
筆不精,筆忠実
平和,戦争
ペシミスト,オプティミスト
ペシミズム,オプティミズム
別人,同人
別々,一緒
蔑称,敬称
ヘビー,ライト
ヘテロ,ホモ
偏愛,博愛
返還,没収
変則,正則
変化,不変
偏在,遍在
変事,常事
保母,保父
保護,迫害
保護貿易,自由貿易
誇らしい,恥ずかしい
捕手,投手
保守,革新
母性愛,父性愛
細い,太い
ホット,クール
保留,決定
褒める,けなす
褒める,謗る
滅ぼす,興す
本意,不本意
万朶,一朶
反駁,同調
反比例,正比例
頒布,回収
反逆,帰順
反逆,恭順
判然,漠然
パンデミック,エンデミック
反日,親日
反米,親米
繁忙,閑散
反立,定立
反落,反発
標準語,方言
表面,裏面
肥沃,不毛
美徳,悪徳
開く,閉じる
非力,強力
美名,悪名
白夜,極夜
敏捷,緩慢
貧相,福相
貧乏,富裕
貧乏神,福の神
不当,正当
不変,可変
富裕,貧困
不溶性,可溶性
不利,有利
無礼,慇懃
無礼講,慇懃講
プライベート,パブリック
文官,武官
文語,口語
文頭,文末
分散,集結
変人,常人
便秘,下痢
片務,双務
便利,不便
没後,生前
没年,生年
歩道,車道
牡馬,牝馬
骨太,骨細
保険金,保険料
本格,破格
本家,分家
本妻,妾
凡策,奇策
本店,支店
本流,支流
本道,間道ま
前,後ろ
マイナー,メジャー
マイナス,プラス
毎日,隔日
マイノリティー,マジョリティー
真上,真下
前歯,奥歯
前金,後金
前厄,後厄
マクロ,ミクロ
負け,勝ち
負け戦,勝ち戦
正夢,逆夢
真面目,不真面目
マゾヒズム,サディズム
股上,股下
まだ,もうみ
未,既
見合い結婚,恋愛結婚
見上げる,見下ろす
見失う,見つける
見送り,出迎え
未刊,既刊
右,左
南,北
未解決,解決
未完成,完成
右手,左手
右巻き,左巻き
右四つ,左四つ
未済,既済
短い,長い
ミストレス,マスター
未成年,成年む
昔,今
無意,有意
無縁,有縁
無学,博学
昔風,今風
無期,有期
無機,有機
無機化学,有機化学
無機物,有機物
無給,有給
無口,お喋り
無芸,多芸
無形資産,有形資産
無限大,無限小
無罪,有罪
無作為,作為
無常,常住
無償,有償め
明,暗
迷,悟
名案,愚案
明確,曖昧
明君,暗君
名犬,駄犬
明細,大略
明示,暗示
明色,暗色
明白,不明
名目,実質
名目的,実質的
明瞭,曖昧
目上,目下
雌牛,牡牛
女神,男神
目頭,目尻
女木,男木
メゾピアノ,メゾフォルテも
孟夏,季夏
設ける,廃する
申し込む,受け付ける
孟秋,季秋
孟春,季春
孟冬,季冬
妄評,適評
燃える,消える
モガ,モボ
模擬試験,本試験
目迎,目送
目測,実測
目的,手段
目的税,普通税
黙秘,供述
木本,草本
模型,実物
モダン,クラシック
末裔,始祖
末期,初期
末梢神経,中枢神経
末端,先端
真っ黒,真っ白
真っ赤,真っ青
学ぶ,教える
真冬,真夏
真帆,片帆
迷う,悟る
丸,角
○,×
まれ,ざら
回り道,近道
満月,新月
満了,未了
満足,不満
未設,既設
密教,顕教
未知,既知
未知数,既知数
未満,超過
密集,散在
密林,疎林
未定,既定
認め印,実印
妙案,愚案
妙技,拙技
妙手,悪手
民営,国営
民間,官界
民事,刑事
民主国,君主国
民主政治,独裁政治
民主的,封建的
ミニマム,マキシマム
未納,既納
見本,現物
未収,既収
無趣味,多趣味
無神経,神経質
無神論,有神論
無数,有数
無上,無下
無色,有色
無翅類,有翅類
無職,有職
無人,有人
結ぶ,解く
無性生殖,有性生殖
無生物,生物
無脊椎動物,脊椎動物
無線,有線
無知,博識
無配,有配
無病,多病
無欲,貪欲
無欲,強欲
無理,道理
無料,有料
メタファー,シミリ
鍍金,地金
滅亡,興隆
目の毒,目の薬
メーカー,ユーザー
メリット,デメリット
メンタル,フィジカル
綿密,粗雑
綿密,杜撰
糯米,粳米
餅肌,鮫肌
持ち家,借り家
モノクロ,カラー
モノトニー,バラエティー
モノローグ,ダイアローグ
戻る,行く
物忘れ,物覚え
諸恋,片恋
諸手,片手
諸膝,片膝
諸結び,片結び
諸刃,片刃
諸肌,片肌
モラル,インモラル
門外漢,専門家
文盲,識字や
山,谷
山,野
山,海
夜雨,朝雨
八重,一重
八重桜,一重桜
夜間,昼間
夜勤,日勤
訳語,原語
訳文,原文
約数,倍数
約束,解約
役人根性,公僕精神
夜行性,昼行性
易しい,難しい
優しい,厳しい
野獣,家畜
安物,上物
安宿,上宿
野性的,都会的
野性派,知性派
野鳥,家禽ゆ
優位,劣位
唯物論,唯心論
有意義,無意義
憂鬱,明朗
有益,無益
優越感,劣等感
優等生,劣等生
勇敢,臆病
夕刊,朝刊
有害,無害
優遇,冷遇
有形,無形
有形文化財,無形文化財
有限,無限
友好,敵対
有効,無効
優秀,劣等
優勢,劣勢
優性,劣性
有酸素運動,無酸素運動
有税,無税よ
夜,昼
夜明け,日暮れ
夜嵐,朝嵐
要員,剰員
洋画,邦画
洋画,日本画
葉芽,花芽
蛹化,羽化
幼魚,成魚
洋犬,和犬
洋語,和語
擁護,侵害
葉菜類,根菜類
養子,実子
洋紙,和紙
養生,不養生
養殖,天然
用水,排水
陽性,陰性
用心,不用心
洋酒,日本酒
幼虫,成虫
陽電子,陰電子ら
来期,今期
来期,前期
来期,先期
来者,往者
来訪,往訪
来航,渡航
来診,宅診
落第,及第
落胆,発奮
洛中,洛外
落胆,有頂天
楽天,厭世
楽天的,厭世的
落魄,栄達
落命,存命
落葉樹,常緑樹
楽観,悲観
楽観的,悲観的
乱臣,忠臣
乱世,治世
卵巣,精巣
乱反射,正反射
ラージ,スモールり
理想主義,現実主義
利息,元金
立体,平面
陸,海
立像,座像
リッチ,プア
立腹,堪忍
利点,欠点
利得,損失
略言,詳言
略字,正字
略字,本字
離日,来日
良妻,悪妻
良性,悪性
両手,片手
量的,質的
良品,不良品
流動的,固定的
両面,片面
良友,悪友
良縁,悪縁
野党,与党
痩せる,太る
山男,山女
山風,谷風
山折り,谷折り
山鳴り,海鳴り
山言葉,沖言葉
山の手,下町
山辺,海辺
山分け,独り占め
病む,治る
止める,続ける
寡婦,寡夫
ヤング,オールド
融点,凝固点
有徳,不徳
有毒,無毒
優等,劣等
有能,無能
雄飛,雌伏
裕福,貧困
雄弁,訥弁
有望,絶望
有名,無名
優良,劣悪
愉快,不快
有力,無力
床,天井
床下,床上
輸出,輸入
溶質,溶媒
養父母,実父母
傭兵,徴兵
抑圧,奨励
沃地,痩地
予算,決算
予習,復習
予選,本選
予想,結果
夜中,日中
夜中,昼中
余分,不足分
喜ぶ,悲しむ
弱音,強がりり
リアクション,アクション
リアリスト,ロマンチスト
利益,損失
俚語,雅語
利下げ,利上げ
理科,文科
離岸,着岸
離岸,接岸
利器,鈍器
力点,支点
理性,感情
理性的,感情的
理性的,盲目的
良質,悪質
リアルタイム処理,バッチ処理
理路整然,支離滅裂
理論,実践
理論家,実務家
理論的,実践的
理論派,行動派
リーグ戦,トーナメント
臨時,定例
臨時,定期
臨時費,経常費
臨時雇い,常雇い
臨床医学,基礎医学る
類火,自火
累減,累加
累減,累増
類概念,種概念
類語,反対語
類似,相違
塁審,球審
累進税,逆進税
流転,静止
ルーズ,ストリクト
ルーズフィット,タイトフィット
流浪,定住
留守,在宅
劣,優
霊界,肉界
冷血動物,温血動物
霊魂,肉体
冷血漢,熱血漢
冷血漢,温情家れ
冷遇,厚遇
零細企業,大企業
令息,令嬢
冷静,興奮
冷泉,温泉
冷戦,熱戦
冷凍,解凍
冷房,暖房
黎明,薄暮
冷淡,親切
礼服,平服
レガート,スタッカート
連勝,連敗
レプリカ,オリジナル
連日,連夜
レム睡眠,ノンレム睡眠
連載,読み切り
連作,輪作
連続,断続
連続,単発
連続的,間欠的ろ
ロー,ハイ
浪費,節約
浪費,貯蓄
労働者,経営者
労働者,資本家
朗報,悲報
老爺,老婆
老練,幼稚
朗話,悲話
露見,隠蔽
露骨,婉曲
露出,遮蔽
露出,被覆
ローリング,ピッチング
ローカル,グローバル
録画,実況
ロング,ショート
論理的,非論理的わ
Y軸,X軸
矮躯,巨躯
矮星,巨星
ワイド,ナロー
和傘,洋傘
和解,決裂
和合,離反
和菓子,洋菓子
若旦那,大旦那
和楽器,洋楽器
和語,漢語
若手,古手
和裁,洋裁
若人,老人
災い,幸い
和算,洋算
和式,洋式
和室,洋室
和書,洋書
和食,洋食
早生,晩生
早生,奥手
私事,公事わ
渡り鳥,留鳥
和風,洋風
和服,洋服
和文,欧文
和本,洋本
ワイフ,ハズバンド
笑う,泣く
悪い,良い
我,彼
悪さ,良さ
割り算,掛け算
割高,割安
ワースト,ベスト
湾内,湾外
虐待,愛護
売国,愛国
ルーラル,アーバン
手酌,相酌
ホット,アイス
別席,相席
喜怒,哀楽
片思い,相惚れ
憎む,愛する
別れる,会う
蔑む,崇める
黄昏,暁
暗い,明るい
黒字,赤字
善,悪
善意,悪意
佳日,悪日
良日,悪日
幸運い,悪運
懐柔,威圧
悪い,いい
はい,いいえ
丁寧,いい加減
出開帳,居開帳
殺す,生かす
以上,以下
当然,意外
同義,異議
分割,一括
野暮,粋
死に恥,生き恥
帰り,行き
同義,異義
故郷,異郷
死ぬ,生きる
以前,以降
自国,異国
脱毛剤,育毛剤
概略う,委細
下,上
表,裏
名,氏
無為,有為
ウェイトレス,ウェイター
本当,嘘
実,嘘
正直者,嘘吐き
左往,右往
直行,迂回
落ちる,受かる
乾季,雨季
乾期,雨期
錘,浮き
沈む,浮かぶ
左京,右京
沈む,浮く
無卦,有卦
働き掛けえ,受け身
枯,栄
シーメール,エアメール
営内,営外
一瞬,永遠
鈍角,鋭角
鈍才,英才
詠物,詠史
仮寓,永住
乳歯,永久歯
一時的,永続的
零落,栄華
没落,栄華
惑星,衛星
遊星,衛星
瞬間,永劫
刹那,永劫
左遷,栄転
鈍感,鋭敏
恥辱お,栄誉
女,男
頭,尾
姪,甥
雌,雄
牝,牡
向かい風,追い風
不味い,美味しい
子,親
凸,凹
王妃,王
初歩,奥義
覇者,王者
王女,王子
近事,往事
近時,往時
来日,往日
召集,応召
返信,往信
縦断,横断
片道,往復
善事,悪事
悠々,齷齪
良習,悪習
好循環,悪循環
好条件,悪条件
善心,悪心
善政,悪政
美声,悪声
善知識,悪知識
好評,悪評
好天,悪天
美風,悪風
名文,悪文
善用,悪用
下げ,上げ
下げ潮,上げ潮
未練がましい,潔い
音字,意字
愛日,畏日
取得,遺失
伸長,萎縮
平常,異状
患者,医者
移入,移出
正常,異常
平凡,異色
凡人,偉人
同性,異性
沖,磯
暇,忙しい
怠る,勤しむ
差出人,受取人
厚化粧,薄化粧
晴天,雨天
左折,右折
氏神,氏子
巽,艮
得る,失う
無情,有情
非情,有情
無心,有心
本曇り,薄曇り
無象,有象
信じる,疑う
歌女,歌男
出稽古,内稽古
外房,内房
和英辞典,英和辞典
泣き顔,笑顔
気化,液化
気体,液体
ビギナー,エキスパート
損金,益金
害鳥,益鳥
字凧,絵凧
幹,枝
Ｎ極,Ｓ極
Ｐ波,Ｓ波
Ｏ脚,Ｘ脚
インテリア,エクステリア
過分,応分
謙虚,横柄
募集,応募
復路,往路
縦列,横列
小字,大字
小雨,大雨
小物,大物
店子,大家
少ない,多い
小柄,大柄
小さい,大きい
小声,大声
小潮,大潮
ヘテロドックス,オーソドックス
夕霞,朝霞
夕方,朝方
寒い,暑い
薄い,厚い
寒い,暖かい
冷たい,暖かい
古い,新しい
前書き,後書き
前付け,後付け
前払い,後払い
此方,彼方
私,貴方
敬う,侮る
弟分,兄貴分
この世,あの世
辛い,甘い
苦い,甘い
辛党,甘党
足りない,余る
無い,有る
汚す,洗う
同族,異族
未然,已然
受託,委託
二軍,一軍
多言,一言
万事,一事
常時,一時
永代,一代
半人前,一人前
熟視,一瞥
多面,一面
他面,一面
相違,一致
不一致,一致
相違点,一致点
二流,一流
三流,一流
一短,一長
凡才,逸材
溢悪,溢美
不定,一定
表沙汰,内沙汰
外風呂,内風呂
銭湯,内風呂
外孫,内孫
外股,内股
夢,現（うつつ）
醜い,美しい
留める,移す
はっきり,うっすら
清清しい,鬱陶しい
躁病,鬱病
与える,奪う
勝ち気,内気
まずい,うまい
へた,うまい
左翼,右翼
厚着,薄着
掘る,埋める
地声,裏声
インポート,エクスポート
浄土,穢土
威服,悦服
アルトルイスト,エゴイスト
得難い,得易い
プロローグ,エピローグ
塞がり,恵方
アガペー,エロス
帰納,演繹
帰納法,演繹法
吐瀉,嚥下
近隣,遠隔
近眼,遠眼
方形,円形
近距離,遠距離
恩義,怨恨
脱字,衍字
鴻鵠,燕雀
豪胆,臆病
間口,奥行
乱れる,治まる
雌蕊,雄蕊
引く,押す
浄水,汚水
早い,遅い
速い,遅い
教える,教わる
優る,劣る
子供,大人
軽い,重い
賢い,愚か
叔父,叔母
伯父,伯母
雌花,雄花
親父,お袋
美名,汚名
取り舵,面舵
忘れる,覚える
清浄,汚染
隠す,現す
細かい,粗い
単衣,袷
筆算,暗算
賢明,暗愚
光明,暗黒
心配,安心
不安,安心
危険,安全
案外,案の定
不安定,安定
変動,安定
シノニム,アントニム
好転,暗転
月夜,暗夜
直喩,暗喩
苦労,安楽
ラッキー,アンラッキー
固定,移動
以外,以内
遵守,違反
合法,違法
アダム,イブ
客間,居間
ジェニュイン,イミテーション
独立心,依頼心
出す,入れる
明朗,陰鬱
陽気,陰気
陽極,陰極
散文,韻文
直喩,隠喩
デフレ,インフレ
表面,裏面
表側,裏側
表通り,裏通り
買値,売値
表口,裏口
喜び,憂い
悲しい,嬉しい
悔し涙,嬉し涙
買掛金,売掛金
下着,上着
下手,上手
下値,上値
下履き,上履き
下髭,上髭
下役,上役
不運,運
欠航,運航
静止,運動
近写,遠写
実戦,演習
求心,遠心
狭小,遠大
短縮,延長
不和,円満
淡水,塩水
楽天家,厭世家
方陣,円陣
角錐,円錐
角柱,円柱
円安,円高
寒天,炎天
方墳,円墳
近海,遠洋
恵比須顔,閻魔顔
美点,汚点
軽荷,重荷
子分,親分
小指,親指
始まる,終わる
仇敵,恩人
小社,御社
過激,穏健
強硬派,穏健派
男手,女手
男結び,女結び
男冥利,女冥利
黙読,音読
訓読か,音読
コスモス,カオス
アノード,カソード
内圧,外圧
内包,外延
閉会,開会
海中,海面
陸上,海上
終幕,開幕
内角,外角
内容,外観
実質,外形
閉業,開業
改悪,改善
雇用,解雇
内政,外交
精算,概算
終了き,開始
沖,岸
新,旧
実,虚
賎,貴
弱,強
南,北
忘却,記憶
以往,既往
気軽,気重
僥倖,奇禍
声楽,器楽
安堵,危惧
悲劇,喜劇
理由,帰結
未決,既決
出港,帰港
竣工,起工
完工き,起工
物納,金納
怠惰,勤勉
遠方,近辺
楽,苦
白,黒
毒,薬
宝,屑
伸,屈
色気,食い気
キング,クイーン
スロー,クイック
楽境,苦境
時間,空間
接触感染,空気感染
苦吟,偶吟
実車け,空車
ケアフル,ケアレス
重科,軽科
境内,境外
重患,軽患
凡眼,慧眼
鈍重,軽快
荘重,軽快
保護色,警戒色
思弁,経験
拝啓,敬具
加重,軽減
重工業,軽工業
重視,軽視
形而下,形而上
重症,軽症
重傷,軽傷
油断こ,警戒
過失,故意
薄い,濃い
淡い,濃い
悪意,好意
敵意,好意
低緯度,高緯度
私印,公印
卑近,高遠
安価,高価
廉価,高価
軟化,硬化
紙幣,硬貨
低俗,高雅
領海,公海
下賤,高貴
狭義,広義
悪化,好転
不況,好況
詳説,概説
内地,外地
益虫,害虫
不調,快調
売手,買手
就任,解任
任命,解任
拘束,解放
苦痛,快楽
被害,加害
縮小,拡大
総論,各論
多作,寡作
過大,過小
過多,過小
不足,過剰
減算,加算
真性,仮性
免税,課税
定説,仮説
常設,仮設
過密,過疎
適度,過度
未婚,既婚
濃縮,希釈
夥多,希少
就寝,起床
気弱,気丈
未成,既成
偽悪,偽善
凶日,吉日
ずぼら,几帳面
未遂,既遂
偶数,奇数
Uターンラッシュ,帰省ラッシュ
凶報,吉報
悪夢,吉夢
終点,起点
遅鈍,機敏
平坦,起伏
権利,義務
義母,義父
実名,偽名
順境,逆境
受理,却下
満席,空席
充実,空虚
絶後,空前
充実,空疎
現実,空想
現実的,空想的
実弾,空弾
奇蹄類,偶蹄類
計画的,偶発的
実理,空理
満腹,空腹
海路,陸路
壮挙,愚挙
甘言,苦言
賢妻,愚妻
武家,公家
賢察,愚察
賢者,愚者
筆授,口授
抽象,具象
卓説,愚説
善戦,苦戦
抽象,具体
実子,継子
弔事,慶事
内容,形式
慎重,軽率
莫大,軽少
緯線,経線
断絶,継続
中断,継続
緯度,経度
甚大,軽微
尊敬,軽蔑
出撃,迎撃
天上,下界
激減,激増
上戸,下戸
冬至,夏至
上作,下作
上策,下策
上種,下種
上水,下水
上旬,下旬
分離,結合
日光,月光
不景気,好景気
防御,攻撃
守備,攻撃
卑劣,高潔
低血圧,高血圧
私権,公権
違憲,合憲
悪材料,好材料
私傷,公傷
低姿勢,高姿勢
低俗,高尚
堕落,向上
低下,向上
先進,後進
守勢,攻勢
私道,公道
狭小,広大
拙速,巧遅
低地,高地
不調,好調
私的,公的
自転,公転
売却,購入
貸す,借りる
返す,借りる
不燃,可燃
質素,華美
下座,上座
私学,官学
悲哀,歓喜
暑気,寒気
賊軍,官軍
冗長,簡潔
未完,完結
関東,関西
真作,贋作
実験,観察
仮名,漢字
大晦日,元日
華奢,頑丈
求人,求職
配水,給水
漸進,急進
平日,休日
慢性,急性
急騰,急落
需要,供給
正気,狂気
病弱,強健
軟弱,強固
豊作,凶作
不興,興
排他,協調
対立,協調
承認,拒否
承諾,拒否
応諾,拒否
抽象化,具体化
抽象的,具体的
口重,口軽
口上手,口下手
上り,下り
上る,下る
伸張,屈曲
狡猾,愚直
利発,愚鈍
快楽,苦難
集める,配る
賢明,愚昧
組子,組頭
手強い,与し易い
晴れ,曇り
照る,曇る
敵する,与する
離婚,結婚
駄作,傑作
躊躇,決断
美点,欠点
解党,結党
起首,結尾
騰貴,下落
結果,原因
愛好,嫌悪
病気,健康
病弱,健康
被告,原告
潜在,顕在
過去,現在
未来,現在
理想,現実
訳書,原書
軟派,硬派
先輩,後輩
販売,購買
毛筆,硬筆
不評,好評
不幸,幸福
差別,公平
私法,公法
謙虚,高慢
稚拙,巧妙
私用,公用
私立,公立
私立,国立
直流,交流
地獄,極楽
午前,午後
正字,誤字
私製,官製
喧騒,閑静
支線,幹線
欠如,完全
狭量,寛大
複雑,簡単
暑中,寒中
忙中,閑中
満潮,干潮
挫折,貫徹
熱波,寒波
圧勝,完敗
不備,完備
喬木,灌木
抄訳,完訳
厳格,寛容
詳細,簡略
暖流,寒流
温暖,寒冷
単独,共同
専有,共有
禁止,許可
極小,極大
実像,虚像
確信,疑念
融解,凝固
脱ぐ,着る
汚い,綺麗
微小,巨大
好む,嫌う
シワシワネーム,キラキラネーム
遠隔,近接
古代,近代
遠因,近因
遠国,近国
遠視,近視
弛緩,緊張
蔵出し,蔵入れ
イミテイティブ,クリエイティブ
楽しみ,苦しみ
楽しむ,苦しむ
行く年,来る年
明け,暮れ
白星,黒星
白目,黒目
素人,玄人
親潮,黒潮
疎い,詳しい
除く,加える
小人,君子
臣下,君主
民需,軍需
文民,軍人
軍拡,軍縮
音読み,訓読み
本体,現象
患側,健側
圏外,圏内
増加,減少
現状打破,現状維持
前職,現職
愚人,賢人
来世,現世
例外,原則
増進,減退
返杯,献杯
贅沢,倹約
奢侈,倹約
浪費,倹約
不遜,謙遜
応用,原理
酷暑,極寒
語尾,語幹
語頭,語尾
語頭,語末
新参,古参
今風,古風
社会,個人
団体,個人
全体,個別
総合,個別
枝葉,根幹
裕福,困窮
容易,困難
枝葉,根本
整頓,混乱
秩序,混乱
統一さ,混乱
功,罪
大雨,細雨
債務,債権
債務者,債権者
出家,在家
輸血,採血
才子,才女
太字,細字
最後,最初
初犯,再犯
初婚,再婚
自由刑,財産刑
自生,栽培
概説,細説
最新,最古
遮光,採光
最低し,最高
終,始
末,始
親,子
生,死
公,私
弟,師
成案,試案
至難,至易
自虐,自愛
他愛,自愛
母音,子音
公益,私益
公営,私営
非我,自我
赤外線,紫外線
覚他,自覚
公企業し,私企業
分散,集中
強硬,柔軟
支出,収入
贈賄,収賄
客観,主観
陪賓,主賓
哀悼,祝賀
弔辞,祝辞
未熟,熟練
述語,主語
副食,主食
客人,主人
客体,主体
拒絶,受諾
入御,出御
欠勤,出勤
欠席す,出席
火,水
気圧,水圧
水底,水面
盛運,衰運
干害,水害
発展,衰退
垂直,水平
陸田,水田
温浴,水浴
退く,進む
意地っ張り,素直
未だに,既に
肉体労働,頭脳労働
嫌い,好き
鈍い,素早い
鈍いそ,鋭い
密,疎
精,粗
密,粗
減,増
愛,憎
精好,粗悪
減益,増益
生花,造花
廃刊,創刊
和解,争議
不相応,相応
守成,創業
廃業,創業
小計,総計
病弱,壮健
一方的,相互的
晩婚,早婚
功績,罪過
歳入,歳出
放胆,細心
最悪,最善
最後列,最前列
最少,最多
最下,最上
独身,妻帯
最小,最大
最小限,最大限
最安値,最高値
最長,最短
社団,財団
鈍物,才物
大別,細別
歳旦,歳末
粗大,細密
無銘,在銘
外来種,在来種
新幹線,在来線
最悪,最良
陶器,磁器
誕生,死去
凪,時化
反応,刺激
外国語,自国語
他人資本,自己資本
原罪,自罪
代作,自作
経験的,思索的
他殺,自殺
負債,資産
虚構,事実
本社,支社
弟子,師匠
生者,死者
煽る,鎮める
人工,自然
他薦,自薦
事後,事前
散漫,集中
到着,出発
絶版,出版
脇役,主役
提出,受領
蓄積,消耗
公費,私費
共存共栄,弱肉強食
秋分,春分
逆風,順風
降格,昇格
敗者,勝者
下車,乗車
下馬,乗馬
下降,上昇
低下,上昇
末席,上席
緘黙,饒舌
拒絶,承諾
点灯,消灯
下等,上等
興隆,衰亡
覚醒,睡眠
濁る,澄む
ざらざら,すべすべ
淵,瀬
草案,成案
濁音,清音
不正確,正確
不義,正義
誤答,正答
不潔,清潔
無制限,制限
奇襲,正攻
粗雑,精巧
安座,正座
消費,生産
消費者,生産者
略式,正式
遅参,早参
晩産,早産
減産,増産
答辞,送辞
減資,増資
片思い,相思相愛
舵手,漕手
晩秋,早秋
減収,増収
晩成,早熟
晩熟,早熟
晩成,早成
晩春,早春
受信,送信
受信機,送信機
減水,増水
獲得,喪失
減税,増税
減配,増配
粛然,騒然
模倣,創造
差損,差益
鈍る,冴える
衰える,栄える
順手,逆手
従う,逆らう
場末,盛り場
明日,昨日
右傾,左傾
右舷,左舷
増加,削減
追加,削減
増補,削除
添加,削除
付加,削除
重大,些細
叫ぶ,囁く
開国,鎖国
離礁,座礁
人為災害,自然災害
活用,死蔵
息女,子息
先祖,子孫
祖先,子孫
得意,失意
実害,実益
応答,質疑
就業,失業
虚業,実業
発効,失効
議決機関,執行機関
純白,漆黒
架空,実在
形式,実質
形式犯,実質犯
下品,上品
敗北,勝利
乾留,蒸留
略論,詳論
主演,助演
晩夏,初夏
終曲,序曲
食前,食後
疾行,徐行
童貞,処女
男性,女性
諸悪,諸善
男装,女装
下流,上流
抒情,叙事
本論,序論
跋文,序文
他力,自力
卵子,精子
不実,誠実
不誠実,誠実
喧噪,静寂
強靭,脆弱
未熟,成熟
肉体,精神
物質的,精神的
略装,正装
乱読,精読
乱雑,整頓
雑然,整然
不文律,成文律
裏門,正門
東洋,西洋
濁流,清流
邪論,正論
消極,積極
細則,総則
絶対的,相対的
遅着,早着
留別,送別
片方,双方
一方,双方
遅漏,早漏
助長,阻害
退位,即位
雅語,俗語
正字,俗字
正室,側室
抑制,促進
続落,続伸
実体,属性
遅筆,速筆
正面,側面
符合,齟齬
大波,細波
独房,雑居房
純系,雑種
題詠,雑詠
定収入,雑収入
斉一,雑多
名木,雑木
里子,里親
迷い,悟り
右派,左派
平等,差別
助ける,妨げる
暖まる,冷める
前後,左右
仄か,明か
反作用,作用
右腕,左腕
不参加,参加
立礼,座礼
還元,酸化
山下,山上
余寒,残暑
陳腐,斬新
衆議院,参議院
反対,賛成
産後,産前
海賊,山賊
山麓,山頂
海道,山道
縮瞳,散瞳
連発,散発
アルカリ性,酸性
乾燥,湿潤
就職,失職
理論,実戦
贅沢,質素
成功,失敗
解答,質問
回答,質問
答弁,質問
市外,市内
散文的,詩的
他動,自動
従属,支配
派手,地味
善良,邪悪
強者,弱者
貸与,借用
返済,借用
拘禁,釈放
検挙,釈放
正道,邪道
専制,自由
束縛,自由
統制,自由
美麗,醜悪
主因,従因
参院,衆院
横貫,縦貫
損失,収益
始業,終業
散開,集結
貧血,充血
解散,集合
拡大,収縮
膨張,収縮
始発,終着
依存,自立
じり高,じり貧
他律,自律
付属語,自立語
古豪,新鋭
退化,進化
停止,進行
後退,進行
天災,人災
物的,心的
物的,人的
淑女,紳士
虚偽,真実
退嬰,進取
楽勝,辛勝
旧制,新制
畏服,心服
退歩,進歩
保守的,進歩的
疎遠,親密
表層,深層
不信,信用
白昼,深夜
旧約,新約
旧訳,新訳
旧暦,新暦
広葉樹,針葉樹
退路,進路
古例,新例
新婦,新郎
アシメトリック,シンメトリック
消極的,積極的
離脱,接近
離反,接近
相対,絶対
接尾語,接頭語
撤去,設置
希望,絶望
酷評,絶賛
どん底,絶頂
卓見,浅見
漸増,漸減
悪業,善業
後刻,先刻
地方紙,全国紙
戦後,戦前
後妻,前妻
後退,前進
来世,前世
民主的,専制的
部分,全体
一部,全部
後天,先天
定時制,全日制
兼任,専任
一斑,全貌
次回,前回
初日,千秋楽
局部,全身
撤退,占領
不良,善良
悪玉,善玉
大根役者,千両役者
不鮮明,鮮明
深慮,浅慮
後輪,前輪
天井値,底値
精密,粗雑
浮動票,組織票
美食,粗食
親水,疎水
非素数,素数
遅効性,即効性
中止,続行
温和,粗暴
優雅,粗野
祖母,祖父
従う,背く
精糖,粗糖
内側,外側
内面,外面
内堀,外堀
内蓋,外蓋
大切,粗末
立派,粗末
ゲル,ゾル
ユニゾン,ソロ
マチネ,ソワレ
厳密,疎漏
侮辱,尊敬
冒涜,尊崇
卑属,尊属
卑下,尊大
無視,尊重
利益,損害
佐幕,尊皇
益友た,損友
畑,田
入会,退会
用言,体言
小器,大器
小群,大群
小規模,大規模
大凶,大吉
小義,大義
進撃,退却
小国,大国
本命,対抗
結託,対抗
小差,大差
当事者,第三者
自書,代書
大敗,大勝
耐寒,耐暑
小事ち,大事
母,父
母親,父親
母方,父方
地上,地下
成魚,稚魚
散財,蓄財
早退,遅刻
治山,治水
速効性,遅効性
名誉,恥辱
母の日,父の日
伸びる,縮む
伸ばす,縮める
強力犯,知能犯
早発,遅発
水平線,地平線
国家公務員つ,地方公務員
率先,追随
逃走,追跡
独幅,対幅
蓄える,費やす
独学,通学
住み込み,通勤
特別国会,通常国会
臨時国会,通常国会
緊急逮捕,通常逮捕
現行犯逮捕,通常逮捕
往復葉書,通常葉書
断水,通水
野暮天て,通人
足,手
地,天
高圧,低圧
高位,低位
高温,低温
高音,低音
変温動物,定温動物
高額,低額
高学年,低学年
高気圧,低気圧
不定期,定期
高級,低級
臨休,定休
普通預金,定期預金
高吟,低吟
廃棄と,締結
下校,登校
答える,問う
卑しい,尊い
反意語,同意語
不同,同一
脚韻,頭韻
異化,同化
西欧,東欧
反対語,同義語
反意語,同義語
対義語,同義語
別居,同居
異業,同業
異系,同系
他校,当校
分化,統合
分裂,統合
不動産,動産
小乗,大乗
就職,退職
小食,大食
戦戦恐恐,泰然自若
小心,大胆
小胆,大胆
体外,体内
大納会,大発会
釈放,逮捕
少量,大量
不漁,大漁
気力,体力
独話,対話
アップロード,ダウンロード
国税,地方税
中央集権,地方分権
杜撰,緻密
散漫,緻密
天変,地変
起立,着席
離任,着任
完工,着工
